Link,Title, Price  
https://www.amazon.com//Alienware-X15-Ready-Gaming-Laptop/dp/B09DFJD6CH/ref=sr_1_294?keywords=laptop&qid=1653585614&sr=8-294,"Alienware X15 R1 VR Ready Gaming Laptop - 15.6 inch 360Hz FHD 1080p Display, NVIDIA GeForce RTX 3070, Intel Core i7-11800H (11th Gen), 16GB DDR4 RAM, 1TB SSD, Wi-Fi 6, Windows 11 Home - Lunar Light","$2,099.99 "
https://www.amazon.com//Apple-2-7GHz-ME086LL-Desktop-Refurbished/dp/B00M4LWXI0/ref=sr_1_210?keywords=laptop&qid=1653585597&sr=8-210,"Apple iMac 21.5in 2.7GHz Core i5 (ME086LL/A) All In One Desktop, 8GB Memory, 1TB Hard Drive, Mac OS X Mountain Lion (Renewed)",$244.99 
https://www.amazon.com//ASUS-Display-GeForce-Keyboard-G533ZX-XS96/dp/B09RN27LHT/ref=sr_1_8?keywords=laptop&qid=1653585547&sr=8-8,"ASUS ROG Strix Scar 15 (2022) Gaming Laptop, 15.6” 240Hz IPS QHD Display, NVIDIA GeForce RTX 3080 Ti, Intel Core i9 12900H, 32GB DDR5, 1TB SSD, Per-Key RGB Keyboard, Windows 11 Pro, G533ZX-XS96","$3,299.99 "
https://www.amazon.com//ASUS-Display-i9-12900H-Keyboard-G733ZW-DS94/dp/B09TPV4R9P/ref=sr_1_39?keywords=laptop&qid=1653585564&sr=8-39,"ASUS ROG Strix Scar 17 (2022) Gaming Laptop, 17.3” 360Hz IPS FHD Display, NVIDIA GeForce RTX 3070 Ti, Intel Core i9-12900H, 16GB DDR5, 1TB SSD, Per-Key RGB Keyboard, Windows 11, G733ZW-DS94","$2,299.99 "
https://www.amazon.com//ASUS-Display-R7-5800H-Keyboard-G513QE-ES76/dp/B093TZMNFR/ref=sr_1_129?keywords=laptop&qid=1653585584&sr=8-129,"ASUS ROG Strix G15 (2021) Gaming Laptop, 15.6” 300Hz IPS Type FHD Display, NVIDIA GeForce RTX 3050 Ti, AMD Ryzen R7-5800H, 16GB DDR4, 1TB PCIe SSD, RGB Keyboard, Windows 10, Black, G513QE-ES76","$1,299.00 "
https://www.amazon.com//ASUS-Display-R9-5900HX-Keyboard-G513QR-ES96/dp/B08SJTW9LK/ref=sr_1_61?keywords=laptop&qid=1653585567&sr=8-61,"ASUS ROG Strix G15 (2021) Gaming Laptop, 15.6” 300Hz IPS Type FHD Display, NVIDIA GeForce RTX 3070, AMD Ryzen R9-5900HX, 16GB DDR4, 1TB PCIe NVMe SSD, RGB Keyboard, Windows 10, G513QR-ES96","$2,055.00 "
https://www.amazon.com//ASUS-ExpertBook-i7-1165G7-Cancelling-B1400CEA-XH74/dp/B09LRNP7G5/ref=sr_1_274?keywords=laptop&qid=1653585611&sr=8-274,"ASUS ExpertBook B1 Business Laptop, 14” FHD, Intel Core i7-1165G7, 512GB SSD, 16GB RAM, Military Grade Durable, AI Noise Cancelling, Webcam Privacy Shield, Win 10 Pro, Star Black, B1400CEA-XH74","$1,129.99 "
https://www.amazon.com//ASUS-ExpertBook-i7-1165G7-Military-B9450CEA-XH75/dp/B08NP1D548/ref=sr_1_268?keywords=laptop&qid=1653585608&sr=8-268,"ASUS ExpertBook B9 Thin & Light Business Laptop, 14” FHD Display, Intel Core i7-1165G7 CPU, 1TB SSD, 16GB LPDDRX-RAM, Windows 10 Pro, Up to 17 Hrs-Battery Life-Sleeve, B9450CEA-XH75","$1,699.99 "
https://www.amazon.com//ASUS-GeForce-Opti-Mechanical-Keyboard-G533QS-XS98Q/dp/B08SJT94PW/ref=sr_1_246?keywords=laptop&qid=1653585606&sr=8-246,"ASUS ROG Strix Scar 15 (2021) Gaming Laptop, 15.6” 165Hz IPS QHD, NVIDIA GeForce RTX 3080, AMD Ryzen 9 5900HX, 32GB DDR4, 1TB SSD, Opti-Mechanical Per-Key RGB Keyboard, Windows 10 Pro, G533QS-XS98Q","$2,840.71 "
https://www.amazon.com//ASUS-GeForce-RTX3050TI-Backlit-Windows/dp/B0B1TFRSP7/ref=sr_1_87?keywords=laptop&qid=1653585574&sr=8-87,"2022 ASUS ROG Strix G15 15.6"" 144Hz FHD IPS Gaming Laptop 8-Core AMD Ryzen 9 5900HX 32GB DDR4 2TB NVMe SSD NVIDIA GeForce RTX3050TI 4GB USB-C WIFI AX HDMI RGB Backlit DTS Audio Windows 11 Pro w/RE USB","$2,099.00 "
